회사명,공고제목,직무분야,경력,학력,근무지,고용형태,마감일,수정일,공고URL
지피앤피,소프트웨어 고객지원 및 기술지원 서비스 엔지니어 채용,"고객경험관리, 원격상담, A·S수리, 기술지원, 유지보수, 시스템분석, 시스템운영, 고객지원, 설치, 시스템분석, 네트워크관리, 시스템설계, 아키텍처, 시스템설계, 기술상담, 네트워크관리, 유지보수, 기술지원, 기술지원, A·S상담",신입·경력2년↑,고졸↑,서울 강남구,정규직                 외,02/02(일),점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46043475?rPageCode=SL&logpath=21&sn=6
㈜앱솔브랩,[셀리맥스] 고도몰 (PHP) 개발자 프리랜서 채용,"피부관리, 화장품, 서비스기획, 스토리보드, 제안·컨설팅, 데이터분석, 앱기획, 콘텐츠기획, UI·UX기획, PM, PL, PO, 서버관리, 클라이언트, 핀테크, HTTP, SI개발, GUI, 반응형웹, 인터페이스, 증강현실, 가상현실, 암호화폐, 음성인식, 인터페이스, 챗봇, 핀테크, SI개발, 메타버스, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, SI개발, 네트워크관리, 서버구축, 시스템운영, 모델링, 데이터마이닝, OLAP개발자, 데이터관리, DBMS, DB튜닝, DW모델러, 빅데이터, 데이터레이크, ETL, 데이터파이프라인, BI, 데이터분석, 데이터시각화, 분석모델링, 네트워크관리, 방화벽, 보안관제, 정보보안, 암호화폐, 핀테크, 시스템분석, 시스템설계, 정보보안, 아키텍처, 클라이언트, SI개발, 모델링, 증강현실, MMORPG, 가상현실, 클라이언트, 메타버스, 검증, 시스템분석, 시스템설계, 펌웨어, 회로설계, 모델링, 딥러닝, 자연어처리(NLP), 음성인식, 이미지프로세싱, 인공지능, 챗봇, 암호화폐, DID, 스마트컨트랙트, Dapp, 네트워크관리, 클라우드개발자, 클라우드아키텍트, 솔루션스아키텍트, 웹마스터, GUI, 반응형웹, 웹표준·웹접근성, 검증, 웹마스터, 테스터",경력3년↑,학력무관,서울 강남구 외,프리랜서,01/23(목),점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46166041?rPageCode=SL&logpath=21&sn=6
㈜컴투스,[컴투스 그룹] 서머너즈워 차기 RPG 아트 직군 인재채용,"2D디자인, 웹표준·웹접근성, 만화디자인, 증강현실, UI·UX기획, 모션그래픽, CG, 데이터분석, 모션그래픽, 삽화·일러스트, 아바타디자인, 애니메이션, 제안·컨설팅, CG, PM, 광고기획, CI, 삽화·일러스트, 2D디자인, 가상현실, 앱기획, 클라이언트, UI·UX기획, 게임기획, 애니메이션, 콘텐츠기획, 메타버스, 만화디자인, 모델링, 애니메이션, 증강현실, 게임기획, 디지털디자인, 스토리보드, MMORPG, 삽화·일러스트, 게임개발, 디지털디자인, 애니메이션, 원화디자인, 원화디자인, 원화디자인, GUI, 가상현실, 서비스기획, 아바타디자인, 삽화·일러스트, 시장분석, 아바타디자인, 모션그래픽, 원화디자인",신입·경력,학력무관,서울 금천구,정규직,상시채용,점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/45900056?rPageCode=SL&logpath=21&sn=6
현대성우그룹,2025년 현대성우그룹 신입/경력직원 채용,"신기술개발, 양산개발, 구동모듈, 리튬배터리팩, 자동차, 자동차부품, 자동차정비, 경영기획, 연구기획, 전략기획, 문서관리, 비품관리, 자산관리, 행정, 경력관리, 노사관리, 시스템분석, 시스템설계, 시스템운영, 시스템분석, 시스템설계, 아키텍처, 클라이언트, SI개발, 검증, 시스템분석, 시스템설계, 회로설계, 상품입출고, 외자구매, 자재구매, 재고관리, 거래처관리, 고객관리, 펌웨어, 회로설계, 생산기술, 자동차, 제품개발, 제어·설계, 기계조작, 금형설계, 기구설계, 전기설계, 회로설계, 생산기술, 제품개발, 자동제어, 공정개발, 자동화라인, 품질테스트, 펌웨어, 회로설계, 에너지, 자동차, 전기·전자, 정보통신·IT, 제품개발, R&D, 로봇설계, 반도체·LCD, 신소재, 연구·실험·기술, 제조·공정, 설비, 회로, 기계조작, 신소재, 생산관리, 품질보증, 검증, 품질보증, 환경관리, 전기설비, 전기설비, 산업안전, 안전평가, 산업안전, 대기환경, 수질환경, 환경측정",신입·경력,고졸↑,서울 강남구 외,정규직                 외,모레마감,점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46129855?rPageCode=SL&logpath=21&sn=6
㈜에스티에이테스팅컨설팅,[ISTQB 교육/자격시험 지원]SW 테스트 엔지니어 모집(이커머스 부문),"검증, QA, 소프트웨어테스트, 웹테스트, SW테스트, 테스트 케이스 설계, ㈜에스티에이테스팅컨설팅, 모바일앱개발, 소프트웨어개발, 솔루션, 검증, 검증, 웹마스터, 테스터",경력1년↑,초대졸↑,서울 광진구 외,정규직,01/31(금),점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46163022?rPageCode=SL&logpath=21&sn=6
㈜한국씨티은행,한국씨티은행 소비자금융리스크기획팀 경력직 채용 공고,"여신상담, 전산입력, 투자자문, 내부감사, 데이터관리, 대출심사, 재무회계, 행정, 부가세신고, 자료조사, 자산운용, 영업기획, 위험분석·관리, 송무담당, 금융, 자산관리사, 채권, 자금관리, 회계감사, 데이터분석, 세무조정, 재무분석, 사이트관리, 사업기획, 외부감사, 결산, 문서작성, 재무기획, 투자상담·자문, 손해평가, 연말정산, 채권, 세무신고, 전략기획, 입출금관리, 데이터분석, 세무기장, 투자상담, 서무, 문서관리, 여신상담, 외환관리, 채권, 투자심사, 언더라이팅, 보험청구, 재무기획, 채권, 경영기획, 보상, 은행, 손해평가",경력3년↑,학력무관,서울 영등포구,정규직,모레마감,점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46158306?rPageCode=SL&logpath=21&sn=6
대한상공회의소,[전액국비] 취업연계 첨단기술 교육생 모집(반도체/AI/응용SW/로봇/스마트제조/IoT),"네트워크관리, 메카트로닉스, 생산기술, 제품개발, PCB, 빅데이터, 기구설계, 회로설계, 연구·실험·기술, 유지보수, SI개발, 펌웨어, 솔루션스아키텍트, 디스플레이, LCD, 딥러닝, 데이터시각화, 시스템분석, 시스템운영, 임베디드, 전기·전자, 인공지능, 정보보안, 터치스크린, SI개발, 시스템분석, PCB, 로봇설계, 메카트로닉스, 전기설계, 클라이언트, SI개발, 보안관제, 시스템설계, 제품개발, 데이터분석, 제어·설계, 자동화라인, 정보보안, 클라우드개발자, 제어·설계, 로봇설계, 반도체·LCD, 아키텍처, 챗봇, 시스템설계, 핀테크, 회로설계, PLC, 클라우드아키텍트, 클라이언트, 핀테크, 검증, 기계조작, 로봇설계, HTTP, 금속, 네트워크관리, 자동제어, 제품개발, 회로설계",신입·경력,학력무관,서울,연수생/교육생,06/27(금),점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46180983?rPageCode=SL&logpath=21&sn=6
(주)인바디,2025 상반기 GBD 신입 채용,"관리회계, 전산입력, 전산입력, 디지털마케팅, 사이트관리, 거래처관리, 솔루션영업, 제품개발, 회로설계, 행정, 검증, 시장조사, 임베디드, 생산관리, 영업기획, 재고관리, 회로설계, 송무담당, 가맹점관리, 문서관리, 시스템설계, 해외마케팅, 회로설계, PCB, 딥러닝, 데이터시각화, 수출입계약, 임베디드, 전기·전자, 중국어, 영업전략, 전시기획, 오프라인마케팅, 바이어개발, 영어, 기업회계, 거래선개발관리, 금형설계, 기타외국어, 더존, 문서작성, 문서작성, R&D, 매출관리, 시스템분석, 자동제어, 펌웨어, 데이터분석, 콘텐츠기획, 더존, 펌웨어, 데이터분석, 기업홍보, 분석모델링, 브랜드기획, 전략기획, 의료기기, 제어·설계, 서무, 문서관리, 전표입력, 제품개발, 연구·실험·기술, 회로설계, 국내영업, 모델링, 시장분석, 전산회계, ERP운용, 데이터분석",신입,대졸↑,서울 강남구,인턴,모레마감,점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46138873?rPageCode=SL&logpath=21&sn=6
HK inno.N㈜,"[HK이노엔] 경력사원 수시 모집(구매, 영업기획, 온라인MD 직무)","고객관리, 상품입출고, 전산입력, 디지털마케팅, 거래처관리, 펌웨어, IMC, 상품입출고, 식품MD, 프로모션, SNS마케팅, 영업기획, 재고관리, 키워드광고, 가맹점관리, 문서관리, 카페·블로그관리, 브랜드기획, 시스템운영, 카페·블로그관리, 데이터분석, 영업전략, AMD, 대리점관리, 구매계약, 제휴마케팅, SI개발, SNS마케팅, 사업기획, 서버구축, 시스템분석, 거래선개발관리, 리테일MD, 매출관리, 문서작성, 바이럴마케팅, 제약, 키워드광고, VMD, 건강, 매출관리, 상품기획, 시스템설계, 재고관리, 전략기획, 자재구매, 데이터분석, SNS마케팅, SEO, 외자구매, 자산관리, 자재구매, 프로모션, 외자구매, 재무기획, 매체관리, 서버관리, 경영기획, 네트워크관리, 배너광고",경력2년↑,대졸↑,서울 중구 외,정규직,01/07(화),점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46177716?rPageCode=SL&logpath=21&sn=6
주식회사 빗썸,[빗썸] 개발자 집중 채용,"API, CDN, Java, MySQL, Oracle, Python, 백오피스, AML, AWS, Ansible, Code review, Confluence, ELK, GIT, FDS, Gradle, Jira, jenkins, JPA, kafka, MongoDB, MSA, Redis, spring boot, sla, SLO, Java Spring Boot, sre, AWS Lambda, Terraform, IaC, NFT, reac.js, sli, 서비스기획, 스토리보드, 데이터분석, 앱기획, 콘텐츠기획, UI·UX기획, PM, PO, 서버관리, 클라이언트, 핀테크, HTTP, SI개발, GUI, 반응형웹, 인터페이스, 증강현실, 가상현실, 암호화폐, 음성인식, 인터페이스, 챗봇, 핀테크, SI개발, 메타버스, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, SI개발, 네트워크관리, 서버구축, 시스템운영, 빅데이터, 데이터레이크, ETL, 데이터파이프라인, 네트워크관리, 방화벽, 보안관제, 정보보안, 암호화폐, 핀테크, 모델링, 딥러닝, 자연어처리(NLP), 음성인식, 이미지프로세싱, 인공지능, 챗봇, 암호화폐, DID, 스마트컨트랙트, Dapp, 네트워크관리, 클라우드개발자, 클라우드아키텍트, 솔루션스아키텍트, 임베디드, 펌웨어, 회로설계, PCB",경력무관,학력무관,서울 강남구 외,정규직,상시채용,점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46115031?rPageCode=SL&logpath=21&sn=6
